record_id,query_id,source,title,published_at,url,doi,abstract_available,abstract_characters,decision,novelty_axes,reason,evidence_basis,full_text_status,review_status,reviewed_at,claim_ids,scientific_verification_performed
http://arxiv.org/abs/2505.21008v3,Q001-arxiv_api,arxiv_api,"A Hitchhiker's Guide to Privacy-Preserving Digital Payment Systems: A Survey on Anonymity, Confidentiality, and Auditability",2025-05-27T10:42:28Z,http://arxiv.org/abs/2505.21008v3,,true,1186,PRIORITY_FULL_TEXT,financial_integrity;privacy,Multiple C001 assurance surfaces interact and may materially narrow or defeat the claim,TITLE_AND_ABSTRACT,NOT_REVIEWED,AI_ASSISTED_PRIMARY_SCREEN_DRAFT,2026-08-29,C001,false
http://arxiv.org/abs/2608.16461v1,Q001-arxiv_api,arxiv_api,A Human-LLM Teaming Framework for Privacy Risk Analysis: An Illustration with CBDC-Based Welfare Schemes,2026-08-17T11:59:03Z,http://arxiv.org/abs/2608.16461v1,,true,1741,INCLUDE_FULL_TEXT,privacy,At least one C001 assurance surface is present; full-text reconciliation required,TITLE_AND_ABSTRACT,NOT_REVIEWED,AI_ASSISTED_PRIMARY_SCREEN_DRAFT,2026-08-29,C001,false
http://arxiv.org/abs/2307.05167v4,Q001-arxiv_api,arxiv_api,A non-custodial wallet for digital currency: design challenges and opportunities,2023-07-11T10:53:45Z,http://arxiv.org/abs/2307.05167v4,,true,1050,INCLUDE_FULL_TEXT,privacy;qualification,At least one C001 assurance surface is present; full-text reconciliation required,TITLE_AND_ABSTRACT,NOT_REVIEWED,AI_ASSISTED_PRIMARY_SCREEN_DRAFT,2026-08-29,C001,false
http://arxiv.org/abs/2311.16105v1,Q001-arxiv_api,arxiv_api,A Privacy-preserving Central Bank Ledger for Central Bank Digital Currency,2023-08-16T12:33:08Z,http://arxiv.org/abs/2311.16105v1,,true,1920,INCLUDE_FULL_TEXT,privacy,At least one C001 assurance surface is present; full-text reconciliation required,TITLE_AND_ABSTRACT,NOT_REVIEWED,AI_ASSISTED_PRIMARY_SCREEN_DRAFT,2026-08-29,C001,false
http://arxiv.org/abs/2110.13840v3,Q001-arxiv_api,arxiv_api,A Scalable Architecture for Electronic Payments,2021-10-26T16:38:45Z,http://arxiv.org/abs/2110.13840v3,,true,895,INCLUDE_FULL_TEXT,privacy,At least one C001 assurance surface is present; full-text reconciliation required,TITLE_AND_ABSTRACT,NOT_REVIEWED,AI_ASSISTED_PRIMARY_SCREEN_DRAFT,2026-08-29,C001,false
http://arxiv.org/abs/2508.21075v1,Q001-arxiv_api,arxiv_api,A Stream Pipeline Framework for Digital Payment Programming based on Smart Contracts,2025-08-12T03:58:19Z,http://arxiv.org/abs/2508.21075v1,,true,1277,EXCLUDE_NO_C001_OVERLAP,,Title/abstract concerns CBDC but does not expose a claim-matched qualification or assurance mechanism,TITLE_AND_ABSTRACT,NOT_REVIEWED,AI_ASSISTED_PRIMARY_SCREEN_DRAFT,2026-08-29,C001,false
http://arxiv.org/abs/2109.12196v1,Q001-arxiv_api,arxiv_api,Automated Market-Making for Fiat Currencies,2021-09-24T21:05:32Z,http://arxiv.org/abs/2109.12196v1,,true,410,INCLUDE_FULL_TEXT,settlement_interoperability,At least one C001 assurance surface is present; full-text reconciliation required,TITLE_AND_ABSTRACT,NOT_REVIEWED,AI_ASSISTED_PRIMARY_SCREEN_DRAFT,2026-08-29,C001,false
http://arxiv.org/abs/2509.25469v1,Q001-arxiv_api,arxiv_api,Balancing Compliance and Privacy in Offline CBDC Transactions Using a Secure Element-based System,2025-09-29T20:19:31Z,http://arxiv.org/abs/2509.25469v1,,true,1201,PRIORITY_FULL_TEXT,financial_integrity;privacy;qualification;resilience_scale,Multiple C001 assurance surfaces interact and may materially narrow or defeat the claim,TITLE_AND_ABSTRACT,NOT_REVIEWED,AI_ASSISTED_PRIMARY_SCREEN_DRAFT,2026-08-29,C001,false
http://arxiv.org/abs/2305.16893v1,Q001-arxiv_api,arxiv_api,CBDC-AquaSphere: Interoperable Central Bank Digital Currency Built on Trusted Computing and Blockchain,2023-05-26T12:54:00Z,http://arxiv.org/abs/2305.16893v1,,true,1741,INCLUDE_FULL_TEXT,privacy;resilience_scale;settlement_interoperability,At least one C001 assurance surface is present; full-text reconciliation required,TITLE_AND_ABSTRACT,NOT_REVIEWED,AI_ASSISTED_PRIMARY_SCREEN_DRAFT,2026-08-29,C001,false
http://arxiv.org/abs/2602.23659v2,Q001-arxiv_api,arxiv_api,"Central Bank Digital Currencies: Where is the Privacy, Technology, and Anonymity?",2026-02-27T03:56:40Z,http://arxiv.org/abs/2602.23659v2,,true,1390,PRIORITY_FULL_TEXT,financial_integrity;privacy,Multiple C001 assurance surfaces interact and may materially narrow or defeat the claim,TITLE_AND_ABSTRACT,NOT_REVIEWED,AI_ASSISTED_PRIMARY_SCREEN_DRAFT,2026-08-29,C001,false
http://arxiv.org/abs/2608.14562v1,Q001-arxiv_api,arxiv_api,Global AI Regulations for FAIR and Ethics in High-Risk Use Cases: A Comparative Review,2026-05-26T09:58:27Z,http://arxiv.org/abs/2608.14562v1,,true,1386,PRIORITY_FULL_TEXT,financial_integrity;settlement_interoperability,Multiple C001 assurance surfaces interact and may materially narrow or defeat the claim,TITLE_AND_ABSTRACT,NOT_REVIEWED,AI_ASSISTED_PRIMARY_SCREEN_DRAFT,2026-08-29,C001,false
http://arxiv.org/abs/2103.00254v1,Q001-arxiv_api,arxiv_api,How to Issue a Central Bank Digital Currency,2021-02-27T15:46:51Z,http://arxiv.org/abs/2103.00254v1,,true,940,INCLUDE_FULL_TEXT,privacy,At least one C001 assurance surface is present; full-text reconciliation required,TITLE_AND_ABSTRACT,NOT_REVIEWED,AI_ASSISTED_PRIMARY_SCREEN_DRAFT,2026-08-29,C001,false
http://arxiv.org/abs/2512.10636v1,Q001-arxiv_api,arxiv_api,Objectives and Design Principles in Offline Payments with Central Bank Digital Currency (CBDC),2025-12-11T13:39:50Z,http://arxiv.org/abs/2512.10636v1,,true,1044,INCLUDE_FULL_TEXT,privacy,At least one C001 assurance surface is present; full-text reconciliation required,TITLE_AND_ABSTRACT,NOT_REVIEWED,AI_ASSISTED_PRIMARY_SCREEN_DRAFT,2026-08-29,C001,false
http://arxiv.org/abs/2407.13776v1,Q001-arxiv_api,arxiv_api,Offline Digital Euro: a Minimum Viable CBDC using Groth-Sahai proofs,2024-07-01T09:55:14Z,http://arxiv.org/abs/2407.13776v1,,true,1530,INCLUDE_FULL_TEXT,privacy,At least one C001 assurance surface is present; full-text reconciliation required,TITLE_AND_ABSTRACT,NOT_REVIEWED,AI_ASSISTED_PRIMARY_SCREEN_DRAFT,2026-08-29,C001,false
http://arxiv.org/abs/2508.08064v7,Q001-arxiv_api,arxiv_api,On the Operational Resilience of CBDC: Threats and Prospects of Formal Validation for Offline Payments,2025-08-11T15:08:35Z,http://arxiv.org/abs/2508.08064v7,,true,1279,INCLUDE_FULL_TEXT,qualification;resilience_scale,At least one C001 assurance surface is present; full-text reconciliation required,TITLE_AND_ABSTRACT,NOT_REVIEWED,AI_ASSISTED_PRIMARY_SCREEN_DRAFT,2026-08-29,C001,false
